numero1                       	INT                           	                              	-                             
numero2                       	INT                           	                              	-                             
numero3                       	INT                           	                              	-                             
resultado                     	INT                           	                              	-                             
a                             	INT                           	                              	-                             
cadena                        	STRING                        	                              	-                             
real                          	FLOAT                         	                              	-                             
_"Hola"                       	CTE_STRING                    	"Hola"                        	6                             
_2                            	CTE_INT                       	2                             	-                             
_3                            	CTE_INT                       	3                             	-                             
_1                            	CTE_INT                       	1                             	-                             
